sent_id,play,text,is_messenger_speech,line,p_narrative,pred_narrative
tlg0019.tlg004.perseus-grc2:1,tlg0019.tlg004.perseus-grc2,Οὗτος τί πάσχεις ὦ κακόδαιμον Ξανθία,False,1.0,0.0004328545765019953,False
tlg0019.tlg004.perseus-grc2:2,tlg0019.tlg004.perseus-grc2,φυλακὴν καταλύειν νυκτερινὴν διδάσκομαι,False,2.0,0.0004414276627358049,False
tlg0019.tlg004.perseus-grc2:3,tlg0019.tlg004.perseus-grc2,κακὸν ἆρα ταῖς πλευραῖς τι προὐφείλεις μέγα,False,3.5,0.0004633732314687222,False
tlg0019.tlg004.perseus-grc2:4,tlg0019.tlg004.perseus-grc2,ἆρʼ οἶσθά γʼ οἷον κνώδαλον φυλάττομεν,False,3.5,0.00041437099571339786,False
tlg0019.tlg004.perseus-grc2:5,tlg0019.tlg004.perseus-grc2,οἶδʼ ἀλλʼ ἐπιθυμῶ σμικρὸν ἀπομερμηρίσαι,False,5.0,0.0004254388331901282,False
tlg0019.tlg004.perseus-grc2:6,tlg0019.tlg004.perseus-grc2,σὺ δʼ οὖν παρακινδύνευʼ ἐπεὶ καὐτοῦ γʼ ἐμοῦ,False,6.5,0.0004941985826008022,False
tlg0019.tlg004.perseus-grc2:7,tlg0019.tlg004.perseus-grc2,κατὰ τοῖν κόραιν ὕπνου τι καταχεῖται γλυκύ,False,6.5,0.0021186629310250282,False
tlg0019.tlg004.perseus-grc2:8,tlg0019.tlg004.perseus-grc2,ἀλλʼ ἦ παραφρονεῖς ἐτεὸν ἢ κορυβαντιᾷς,False,8.0,0.14803963899612427,False
tlg0019.tlg004.perseus-grc2:9,tlg0019.tlg004.perseus-grc2,οὔκ ἀλλʼ ὕπνος μʼ ἔχει τις ἐκ Σαβαζίου,False,9.0,0.0010808262741193175,False
tlg0019.tlg004.perseus-grc2:10,tlg0019.tlg004.perseus-grc2,τὸν αὐτὸν ἄρʼ ἐμοὶ βουκολεῖς Σαβάζιον,False,11.5,0.0004203493008390069,False
tlg0019.tlg004.perseus-grc2:11,tlg0019.tlg004.perseus-grc2,κἀμοὶ γὰρ ἀρτίως ἐπεστρατεύσατο,False,11.5,0.0037524921353906393,False
tlg0019.tlg004.perseus-grc2:12,tlg0019.tlg004.perseus-grc2,Μῆδός τις ἐπὶ τὰ βλέφαρα νυστακτὴς ὕπνος,False,11.5,0.010006274096667767,False
tlg0019.tlg004.perseus-grc2:13,tlg0019.tlg004.perseus-grc2,καὶ δῆτʼ ὄναρ θαυμαστὸν εἶδον ἀρτίως,False,11.5,0.0006486448110081255,False
tlg0019.tlg004.perseus-grc2:14,tlg0019.tlg004.perseus-grc2,κἄγωγʼ ἀληθῶς οἷον οὐδεπώποτε,False,14.5,0.0018408525502309203,False
tlg0019.tlg004.perseus-grc2:15,tlg0019.tlg004.perseus-grc2,ἀτὰρ σὺ λέξον πρότερος,False,14.5,0.00043047821964137256,False
tlg0019.tlg004.perseus-grc2:16,tlg0019.tlg004.perseus-grc2,ἐδόκουν αἰετὸν,False,17.0,0.9773295521736145,True
tlg0019.tlg004.perseus-grc2:17,tlg0019.tlg004.perseus-grc2,καταπτόμενον ἐς τὴν ἀγορὰν μέγαν πάνυ,False,17.0,0.12766246497631073,False
tlg0019.tlg004.perseus-grc2:18,tlg0019.tlg004.perseus-grc2,ἀναρπάσαντα τοῖς ὄνυξιν ἀσπίδα,False,17.0,0.9787465929985046,True
tlg0019.tlg004.perseus-grc2:19,tlg0019.tlg004.perseus-grc2,φέρειν ἐπίχαλκον ἀνεκὰς ἐς τὸν οὐρανόν,False,17.0,0.8994648456573486,True
tlg0019.tlg004.perseus-grc2:20,tlg0019.tlg004.perseus-grc2,κἄπειτα ταύτην ἀποβαλεῖν Κλεώνυμον,False,17.0,0.0004541279631666839,False
tlg0019.tlg004.perseus-grc2:21,tlg0019.tlg004.perseus-grc2,οὐδὲν ἄρα γρίφου διαφέρει Κλεώνυμος,False,20.0,0.008953976444900036,False
tlg0019.tlg004.perseus-grc2:22,tlg0019.tlg004.perseus-grc2,πῶς δή,False,21.0,0.0004393919080030173,False
tlg0019.tlg004.perseus-grc2:23,tlg0019.tlg004.perseus-grc2,προσερεῖ τις τοῖσι συμπόταις λέγων,False,22.0,0.7027117609977722,True
tlg0019.tlg004.perseus-grc2:24,tlg0019.tlg004.perseus-grc2,τί ταὐτὸν ἐν γῇ τʼ ἀπέβαλεν κἀν οὐρανῷ,False,22.0,0.04914211109280586,False
tlg0019.tlg004.perseus-grc2:25,tlg0019.tlg004.perseus-grc2,κἀν τῇ θαλάττῃ θηρίον τὴν ἀσπίδα,False,22.0,0.4695356786251068,False
tlg0019.tlg004.perseus-grc2:26,tlg0019.tlg004.perseus-grc2,οἴμοι τί δῆτά μοι κακὸν γενήσεται,False,24.5,0.0004358049773145467,False
tlg0019.tlg004.perseus-grc2:27,tlg0019.tlg004.perseus-grc2,ἰδόντι τοιοῦτον ἐνύπνιον,False,24.5,0.012470177374780178,False
tlg0019.tlg004.perseus-grc2:28,tlg0019.tlg004.perseus-grc2,μὴ φροντίσῃς,False,25.5,0.0004672244540415704,False
tlg0019.tlg004.perseus-grc2:29,tlg0019.tlg004.perseus-grc2,οὐδὲν γὰρ ἔσται δεινὸν οὐ μὰ τοὺς θεούς,False,25.5,0.00042401731479912996,False
tlg0019.tlg004.perseus-grc2:30,tlg0019.tlg004.perseus-grc2,δεινόν γέ ποὔστʼ ἄνθρωπος ἀποβαλὼν ὅπλα,False,27.5,0.002788302954286337,False
tlg0019.tlg004.perseus-grc2:31,tlg0019.tlg004.perseus-grc2,ἀτὰρ σὺ τὸ σὸν αὖ λέξον,False,27.5,0.0004983291728422046,False
tlg0019.tlg004.perseus-grc2:32,tlg0019.tlg004.perseus-grc2,ἀλλʼ ἐστὶν μέγα,False,28.5,0.00045145233161747456,False
tlg0019.tlg004.perseus-grc2:33,tlg0019.tlg004.perseus-grc2,περὶ τῆς πόλεως γάρ ἐστι τοῦ σκάφους ὅλου,False,28.5,0.005337475333362818,False
tlg0019.tlg004.perseus-grc2:34,tlg0019.tlg004.perseus-grc2,λέγε νυν ἀνύσας τι τὴν τρόπιν τοῦ πράγματος,False,30.0,0.00045639678137376904,False
tlg0019.tlg004.perseus-grc2:35,tlg0019.tlg004.perseus-grc2,ἔδοξέ μοι περὶ πρῶτον ὕπνον ἐν τῇ πυκνὶ,False,33.5,0.0007773737306706607,False
tlg0019.tlg004.perseus-grc2:36,tlg0019.tlg004.perseus-grc2,ἐκκλησιάζειν πρόβατα συγκαθήμενα,False,33.5,0.008437639102339745,False
tlg0019.tlg004.perseus-grc2:37,tlg0019.tlg004.perseus-grc2,βακτηρίας ἔχοντα καὶ τριβώνια,False,33.5,0.9818025231361389,True
tlg0019.tlg004.perseus-grc2:38,tlg0019.tlg004.perseus-grc2,κἄπειτα τούτοις τοῖς προβάτοισι μοὐδόκει,False,33.5,0.002002292312681675,False
tlg0019.tlg004.perseus-grc2:39,tlg0019.tlg004.perseus-grc2,δημηγορεῖν φάλαινα πανδοκεύτρια,False,33.5,0.003993891179561615,False
tlg0019.tlg004.perseus-grc2:40,tlg0019.tlg004.perseus-grc2,ἔχουσα φωνὴν ἐμπεπρησμένης ὑός,False,33.5,0.9909612536430359,True
tlg0019.tlg004.perseus-grc2:41,tlg0019.tlg004.perseus-grc2,αἰβοῖ,False,37.0,0.016921289265155792,False
tlg0019.tlg004.perseus-grc2:42,tlg0019.tlg004.perseus-grc2,τί ἔστι,False,37.0,0.00042770744767040014,False
tlg0019.tlg004.perseus-grc2:43,tlg0019.tlg004.perseus-grc2,παῦε παῦε μὴ λέγε,False,37.5,0.00044251378858461976,False
tlg0019.tlg004.perseus-grc2:44,tlg0019.tlg004.perseus-grc2,ὄζει κάκιστον τοὐνύπνιον βύρσης σαπρᾶς,False,37.5,0.0018931154627352953,False
tlg0019.tlg004.perseus-grc2:45,tlg0019.tlg004.perseus-grc2,εἶθʼ ἡ μιαρὰ φάλαινʼ ἔχουσα τρυτάνην,False,39.5,0.9321675896644592,True
tlg0019.tlg004.perseus-grc2:46,tlg0019.tlg004.perseus-grc2,ἵστη βόειον δημόν,False,39.5,0.26823168992996216,False
