work,sent_id,text,is_direct_speech,book,line,speaker_being,speaker_disguise,speaker_gender,speaker_name,speaker_number,p_narrative,pred_narrative
iliad,2274106,"μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε, πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν οἰωνοῖσί τε πᾶσι, Διὸς δ’ ἐτελείετο βουλή, ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.",False,1,4.0,,,,,,0.9072134494781494,True
iliad,2274107,τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;,False,1,8.0,,,,,,0.9838635921478271,True
iliad,2274108,Λητοῦς καὶ Διὸς υἱός·,False,1,9.0,,,,,,0.9969035983085632,True
iliad,2274109,"ὃ γὰρ βασιλῆϊ χολωθεὶς νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί, οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα Ἀτρεΐδης·",False,1,10.5,,,,,,0.7681050896644592,True
iliad,2274110,"ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν λυσόμενός τε θύγατρα φέρων τ’ ἀπερείσι’ ἄποινα, στέμματ’ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς, Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν·",False,1,14.0,,,,,,0.9802601933479309,True
iliad,2274111,"Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί, ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ’ οἴκαδ’ ἱκέσθαι·",True,1,18.0,,,,,,0.0004160600947216153,False
iliad,2274112,"παῖδα δ’ ἐμοὶ λύσαιτε φίλην, τὰ δ’ ἄποινα δέχεσθαι, ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.",True,1,20.5,,,,,,0.00046243841643445194,False
iliad,2274113,ἔνθ’ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ αἰδεῖσθαί θ’ ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα·,False,1,22.5,,,,,,0.9498414397239685,True
iliad,2274114,"ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ, ἀλλὰ κακῶς ἀφίει, κρατερὸν δ’ ἐπὶ μῦθον ἔτελλε·",False,1,24.5,,,,,,0.6376988887786865,True
iliad,2274115,"μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω ἢ νῦν δηθύνοντ’ ἢ ὕστερον αὖτις ἰόντα, μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο·",True,1,27.0,,,,,,0.000420764263253659,False
iliad,2274116,τὴν δ’ ἐγὼ οὐ λύσω·,True,1,29.0,,,,,,0.00047814566642045975,False
iliad,2274117,πρίν μιν καὶ γῆρας ἔπεισιν ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·,True,1,30.0,,,,,,0.0005199412698857486,False
iliad,2274118,ἀλλ’ ἴθι μή μ’ ἐρέθιζε σαώτερος ὥς κε νέηαι.,True,1,32.0,,,,,,0.0004712125228252262,False
iliad,2274119,"ὣς ἔφατ’, ἔδεισεν δ’ ὃ γέρων καὶ ἐπείθετο μύθῳ·",False,1,33.0,,,,,,0.9975002408027649,True
iliad,2274120,βῆ δ’ ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης·,False,1,34.0,,,,,,0.988178551197052,True
