play,sent_id,text,is_messenger_speech,line,p_narrative,pred_narrative
tlg0085.tlg005,1,"θεοὺς μὲν αἰτῶ τῶνδ’ ἀπαλλαγὴν πόνων φρουρᾶς ἐτείας μῆκος, ἣν κοιμώμενος στέγαις Ἀτρειδῶν ἄγκαθεν, κυνὸς δίκην, ἄστρων κάτοιδα νυκτέρων ὁμήγυριν, καὶ τοὺς φέροντας χεῖμα καὶ θέρος βροτοῖς λαμπροὺς δυνάστας, ἐμπρέποντας αἰθέρι [ἀστέρας, ὅταν φθίνωσιν, ἀντολάς τε τῶν].",False,4.0,0.0005198639701120555,False
tlg0085.tlg005,2,"καὶ νῦν φυλάσσω λαμπάδος τό σύμβολον, αὐγὴν πυρὸς φέρουσαν ἐκ Τροίας φάτιν ἁλώσιμόν τε βάξιν·",False,9.0,0.0017980531556531787,False
tlg0085.tlg005,3,ὧδε γὰρ κρατεῖ γυναικὸς ἀνδρόβουλον ἐλπίζον κέαρ.,False,10.5,0.0024439606349915266,False
tlg0085.tlg005,4,εὖτ’ ἂν δὲ νυκτίπλαγκτον ἔνδροσόν τ’ ἔχω εὐνὴν ὀνείροις οὐκ ἐπισκοπουμένην ἐμήν·,False,13.0,0.00047993313637562096,False
tlg0085.tlg005,5,"φόβος γὰρ ἀνθ’ ὕπνου παραστατεῖ, τὸ μὴ βεβαίως βλέφαρα συμβαλεῖν ὕπνῳ·",False,14.5,0.9722356796264648,True
tlg0085.tlg005,6,"ὅταν δ’ ἀείδειν ἢ μινύρεσθαι δοκῶ, ὕπνου τόδ’ ἀντίμολπον ἐντέμνων ἄκος, κλαίω τότ’ οἴκου τοῦδε συμφορὰν στένων οὐχ ὡς τὰ πρόσθ’ ἄριστα διαπονουμένου.",False,17.5,0.00042726731044240296,False
tlg0085.tlg005,7,νῦν δ’ εὐτυχὴς γένοιτ’ ἀπαλλαγὴ πόνων εὐαγγέλου φανέντος ὀρφναίου πυρός.,False,20.5,0.000476109009468928,False
tlg0085.tlg005,8,"ὦ χαῖρε λαμπτὴρ νυκτός, ἡμερήσιον φάος πιφαύσκων καὶ χορῶν κατάστασιν πολλῶν ἐν Ἄργει, τῆσδε συμφορᾶς χάριν.",False,23.0,0.0012367928866297007,False
tlg0085.tlg005,9,ἰοὺ ἰού.,False,25.0,0.0004904406378045678,False
tlg0085.tlg005,10,"Ἀγαμέμνονος γυναικὶ σημαίνω τορῶς εὐνῆς ἐπαντείλασαν ὡς τάχος δόμοις ὀλολυγμὸν εὐφημοῦντα τῇδε λαμπάδι ἐπορθιάζειν, εἴπερ Ἰλίου πόλις ἑάλωκεν, ὡς ὁ φρυκτὸς ἀγγέλλων πρέπει·",False,28.0,0.001713944599032402,False
tlg0085.tlg005,11,αὐτός τ’ ἔγωγε φροίμιον χορεύσομαι.,False,31.0,0.0004792247782461345,False
tlg0085.tlg005,12,τὰ δεσποτῶν γὰρ εὖ πεσόντα θήσομαι τρὶς ἓξ βαλούσης τῆσδέ μοι φρυκτωρίας.,False,32.5,0.0004100995138287544,False
tlg0085.tlg005,13,γένοιτο δ’ οὖν μολόντος εὐφιλῆ χέρα ἄνακτος οἴκων τῇδε βαστάσαι χερί.,False,34.5,0.0004599738458637148,False
tlg0085.tlg005,14,τὰ δ’ ἄλλα σιγῶ·,False,36.0,0.001539159449748695,False
tlg0085.tlg005,15,βοῦς ἐπὶ γλώσσῃ μέγας βέβηκεν·,False,36.5,0.13424909114837646,False
tlg0085.tlg005,16,"οἶκος δ’ αὐτός, εἰ φθογγὴν λάβοι, σαφέστατ’ ἂν λέξειεν·",False,37.5,0.0008139992132782936,False
tlg0085.tlg005,17,ὡς ἑκὼν ἐγὼ μαθοῦσιν αὐδῶ κοὐ μαθοῦσι λήθομαι.,False,38.5,0.0005094948573969305,False
tlg0085.tlg005,18,"δέκατον μὲν ἔτος τόδ’ ἐπεὶ Πριάμου μέγας ἀντίδικος, Μενέλαος ἄναξ ἠδ’ Ἀγαμέμνων, διθρόνου Διόθεν καὶ δισκήπτρου τιμῆς ὀχυρὸν ζεῦγος Ἀτρειδᾶν στόλον Ἀργείων χιλιοναύτην τῆσδ’ ἀπὸ χώρας ἦραν, στρατιῶτιν ἀρωγὰν, μέγαν ἐκ θυμοῦ κλάζοντες Ἄρη τρόπον αἰγυπιῶν, οἵτ’ ἐκπατίοις ἄλγεσι παίδων ὕπατοι λεχέων στροφοδινοῦνται πτερύγων ἐρετμοῖσιν ἐρεσσόμενοι, δεμνιοτήρη πόνον ὀρταλίχων ὀλέσαντες·",False,47.0,0.0032218594569712877,False
tlg0085.tlg005,19,ὕπατος δ’ ἀίων ἤ τις Ἀπόλλων ἢ Πὰν ἢ Ζεὺς οἰωνόθροον γόον ὀξυβόαν τῶνδε μετοίκων ὑστερόποινον πέμπει παραβᾶσιν Ἐρινύν.,False,57.0,0.0022406205534934998,False
tlg0085.tlg005,20,οὕτω δ’ Ἀτρέως παῖδας ὁ κρείσσων ἐπ’ Ἀλεξάνδρῳ πέμπει ξένιος Ζεὺς πολυάνορος ἀμφὶ γυναικὸς πολλὰ παλαίσματα καὶ γυιοβαρῆ γόνατος κονίαισιν ἐρειδομένου διακναιομένης τ’ ἐν προτελείοις κάμακος θήσων Δαναοῖσι Τρωσί θ’ ὁμοίως.,False,63.5,0.8735883831977844,True
tlg0085.tlg005,21,ἔστι δ’ ὅπῃ νῦν ἔστι·,False,67.5,0.00047385788639076054,False
tlg0085.tlg005,22,τελεῖται δ’ ἐς τὸ πεπρωμένον·,False,68.0,0.0004634415090549737,False
tlg0085.tlg005,23,οὔθ’ ὑποκαίων οὔθ’ ὑπολείβων οὔτε δακρύων ἀπύρων ἱερῶν ὀργὰς ἀτενεῖς παραθέλξει.,False,70.0,0.0040335459634661674,False
tlg0085.tlg005,24,ἡμεῖς δ’ ἀτίται σαρκὶ παλαιᾷ τῆς τότ’ ἀρωγῆς ὑπολειφθέντες μίμνομεν ἰσχὺν ἰσόπαιδα νέμοντες ἐπὶ σκήπτροις.,False,73.5,0.00043492470285855234,False
tlg0085.tlg005,25,"ὅ τε γὰρ νεαρὸς μυελὸς στέρνων ἐντὸς ἀνᾴσσων ἰσόπρεσβυς, Ἄρης δ’ οὐκ ἔνι χώρᾳ, τό θ’ ὑπέργηρων φυλλάδος ἤδη κατακαρφομένης τρίποδας μὲν ὁδοὺς στείχει, παιδὸς δ’ οὐδὲν ἀρείων ὄναρ ἡμερόφαντον ἀλαίνει.",False,79.0,0.4652554392814636,False
tlg0085.tlg005,26,"σὺ δέ, Τυνδάρεω θύγατερ, βασίλεια Κλυταιμήστρα, τί χρέος;",False,84.0,0.0004215774533804506,False
tlg0085.tlg005,27,τί νέον;,False,85.0,0.0004890993004664779,False
tlg0085.tlg005,28,"τί δ’ ἐπαισθομένη, τίνος ἀγγελίας πειθοῖ περίπεμπτα θυοσκεῖς;",False,86.0,0.0009630076820030808,False
tlg0085.tlg005,29,"πάντων δὲ θεῶν τῶν ἀστυνόμων, ὑπάτων, χθονίων, τῶν τ’ οὐρανίων τῶν τ’ ἀγοραίων, βωμοὶ δώροισι φλέγονται·",False,89.5,0.06494221836328506,False
tlg0085.tlg005,30,"ἄλλη δ’ ἄλλοθεν οὐρανομήκης λαμπὰς ἀνίσχει, φαρμασσομένη χρίματος ἁγνοῦ μαλακαῖς ἀδόλοισι παρηγορίαις, πελάνῳ μυχόθεν βασιλείῳ.",False,94.0,0.2997090220451355,False
tlg0085.tlg005,31,"τούτων λέξασ’ ὅ τι καὶ δυνατὸν καὶ θέμις αἰνεῖν, παιών τε γενοῦ τῆσδε μερίμνης, ἣ νῦν τοτὲ μὲν κακόφρων τελέθει, τοτὲ δ’ ἐκ θυσιῶν ἀγανὴ φαίνουσ’ ἐλπὶς ἀμύνει φροντίδ’ ἄπληστον τῆς θυμοβόρου φρένα λύπης.",False,100.0,0.00040874446858651936,False
